Perigee pass time,Propulsion On/ Off
22-May-2024 20:40:03,1
22-May-2024 22:14:22,1
22-May-2024 23:48:41,1
23-May-2024 01:23:03,1
23-May-2024 02:57:25,1
23-May-2024 04:31:46,1
23-May-2024 06:06:09,1
23-May-2024 07:40:20,1
23-May-2024 09:14:29,1
23-May-2024 10:48:45,1
23-May-2024 12:23:08,1
23-May-2024 13:57:36,1
23-May-2024 15:32:06,1
23-May-2024 17:06:36,1
23-May-2024 18:41:00,1
23-May-2024 20:15:24,1
23-May-2024 21:49:43,1
23-May-2024 23:24:03,1
24-May-2024 00:58:25,1
24-May-2024 02:32:49,1
24-May-2024 04:07:09,1
24-May-2024 05:41:36,1
24-May-2024 07:15:50,1
24-May-2024 08:50:02,1
24-May-2024 10:24:17,1
24-May-2024 11:58:39,1
24-May-2024 13:33:05,1
24-May-2024 15:07:34,1
24-May-2024 16:42:03,1
24-May-2024 18:16:28,1
24-May-2024 19:50:53,1
24-May-2024 21:25:15,1
24-May-2024 22:59:36,1
25-May-2024 00:33:59,1
25-May-2024 02:08:24,1
25-May-2024 03:42:46,1
25-May-2024 05:17:13,1
25-May-2024 06:51:31,1
25-May-2024 08:25:46,1
25-May-2024 10:00:01,1
25-May-2024 11:34:22,1
25-May-2024 13:08:48,1
25-May-2024 14:43:16,1
25-May-2024 16:17:47,1
25-May-2024 17:52:15,1
