Time (UTCG),Torque in X (Nm),Torque in Y (Nm),Torque in Z (Nm)
06 Aug 2023 20:15:04,4.43401466240582e-08,5.82092268823872e-08,-2.61508883530601e-09
06 Aug 2023 20:20:04,5.34144244374105e-08,7.22448792669979e-08,-2.97563187867473e-09
06 Aug 2023 20:25:04,2.4066084202204e-08,4.72495598345545e-08,-1.2274062651474e-10
06 Aug 2023 20:30:04,-3.65883004141606e-08,-1.40584610155699e-08,4.97458067787844e-09
06 Aug 2023 20:35:04,-7.01041414264763e-08,-5.27156182998433e-08,7.39394597088321e-09
06 Aug 2023 20:40:04,-6.12972130889661e-08,-4.87525274574978e-08,6.2421392620187e-09
06 Aug 2023 20:45:04,-3.64246052349944e-08,-2.64996653999311e-08,3.90980211595282e-09
06 Aug 2023 20:50:04,-1.04298205953265e-08,-1.17139951879594e-09,1.64383019797527e-09
06 Aug 2023 20:55:04,1.46351114620376e-08,2.4868386134223e-08,-4.07686937165987e-10
06 Aug 2023 21:00:04,3.86872127314167e-08,5.16548206379722e-08,-2.22816036810591e-09
06 Aug 2023 21:05:04,1.38726573158235e-06,-1.67471720764261e-06,6.45952565994722e-08
06 Aug 2023 21:10:04,0,0,0
06 Aug 2023 21:15:04,-8.19747514476522e-08,8.6779175004852e-08,1.69218017196686e-09
06 Aug 2023 21:20:04,-5.1183397682448e-08,9.26902087332226e-08,-2.31150896656871e-09
06 Aug 2023 21:25:04,0,0,0
06 Aug 2023 21:30:04,-1.45558864954536e-06,1.48870858155853e-06,-3.22169682811073e-08
06 Aug 2023 21:35:04,-1.73553796844867e-08,-8.2112674940885e-09,2.23504565283511e-09
06 Aug 2023 21:40:04,7.84741254324487e-09,1.75083921235292e-08,1.36919097101054e-10
06 Aug 2023 21:45:04,3.23671185695025e-08,4.4230128852273e-08,-1.76390067298806e-09
06 Aug 2023 21:50:04,5.15049607136172e-08,6.74743438001748e-08,-3.05002985339236e-09
06 Aug 2023 21:55:04,4.60036548592285e-08,6.71576616332214e-08,-2.15398207515807e-09
06 Aug 2023 22:00:04,-2.86328924084741e-09,2.08010190590701e-08,2.20429306753171e-09
06 Aug 2023 22:05:04,-5.78990432478094e-08,-3.74558744019671e-08,6.61130166079737e-09
06 Aug 2023 22:10:04,-6.97969549422977e-08,-5.48520357745863e-08,7.16434248228957e-09
06 Aug 2023 22:15:04,-5.06196754438689e-08,-3.9539414282486e-08,5.21266940632026e-09
06 Aug 2023 22:20:04,-2.4457322968466e-08,-1.50463798154102e-08,2.84949509052341e-09
06 Aug 2023 22:25:04,1.02672341729e-09,1.05291771008417e-08,6.8952585115032e-10
06 Aug 2023 22:30:04,2.58496157077904e-08,3.70919876632711e-08,-1.27838996628257e-09
06 Aug 2023 22:35:04,-1.76355032251607e-06,1.76505839321906e-06,6.09408922246417e-08
06 Aug 2023 22:40:04,0,0,0
06 Aug 2023 22:45:04,-9.31457681088577e-08,7.32749896546986e-08,4.02884105486294e-09
06 Aug 2023 22:50:04,-6.90294362047887e-08,9.25872265500115e-08,-2.12554551294305e-10
06 Aug 2023 22:55:04,0,0,0
06 Aug 2023 23:00:04,1.05767461777117e-06,-9.41816690972298e-07,-6.43283432173637e-08
06 Aug 2023 23:05:04,-3.15752780069445e-08,-2.2021791335984e-08,3.47666307412902e-09
06 Aug 2023 23:10:04,-5.79387648379263e-09,3.38859854356803e-09,1.25614770711482e-09
06 Aug 2023 23:15:04,1.91173629781582e-08,2.955604021514e-08,-7.5613500321842e-10
06 Aug 2023 23:20:04,4.24430906997955e-08,5.59360050268992e-08,-2.48504314077236e-09
06 Aug 2023 23:25:04,5.37346942880981e-08,7.20721777231551e-08,-3.0436042534254e-09
06 Aug 2023 23:30:04,2.86235927180323e-08,5.15482952301845e-08,-5.31261906117474e-10
06 Aug 2023 23:35:04,-3.1308757445921e-08,-8.48235278148266e-09,4.55076657795246e-09
06 Aug 2023 23:40:04,-6.89927779898775e-08,-5.10919502260256e-08,7.34216086535283e-09
06 Aug 2023 23:45:04,-6.30771165387544e-08,-5.01773301445466e-08,6.42296297115606e-09
06 Aug 2023 23:50:04,-3.88022880469833e-08,-2.87229663000668e-08,4.12477854789856e-09
06 Aug 2023 23:55:04,-1.27392814626241e-08,-3.48456901286698e-09,1.83994265677117e-09
07 Aug 2023 00:00:04,1.23486783881661e-08,2.24288230232614e-08,-2.25843477143257e-10
07 Aug 2023 00:05:04,3.66113513732695e-08,4.9252412560526e-08,-2.07850327548412e-09
07 Aug 2023 00:10:04,1.05750763383099e-06,-1.29510015073352e-06,5.8512352115462e-08
07 Aug 2023 00:15:04,0,0,0
07 Aug 2023 00:20:04,-8.31246685123332e-08,8.58375484908984e-08,1.89533656044627e-09
07 Aug 2023 00:25:04,-5.26237372385639e-08,9.29269685196598e-08,-2.15520418848219e-09
07 Aug 2023 00:30:04,0,0,0
07 Aug 2023 00:35:04,-1.22402472031313e-06,1.26780955589501e-06,-3.44047173907923e-08
07 Aug 2023 00:40:04,-1.9714529349798e-08,-1.05338764034104e-08,2.43846222712101e-09
07 Aug 2023 00:45:04,5.56879981940287e-09,1.5119712219348e-08,3.21389740072336e-10
07 Aug 2023 00:50:04,3.01528772398419e-08,4.1739704453013e-08,-1.59863656483605e-09
07 Aug 2023 00:55:04,5.02841684285675e-08,6.5801308282029e-08,-2.98372246544656e-09
07 Aug 2023 01:00:04,4.81802776994906e-08,6.88827598055647e-08,-2.37621393920546e-09
07 Aug 2023 01:05:04,2.89673996867645e-09,2.65523848899065e-08,1.7143464334211e-09
07 Aug 2023 01:10:04,-5.42733816431852e-08,-3.33661258766937e-08,6.34189760903997e-09
07 Aug 2023 01:15:04,-7.03842161408407e-08,-5.49741344759294e-08,7.25296708297221e-09
07 Aug 2023 01:20:04,-5.28724857002455e-08,-4.15327980525413e-08,5.42574086098305e-09
07 Aug 2023 01:25:04,-2.68332943206475e-08,-1.73446976703048e-08,3.05797970029495e-09
07 Aug 2023 01:30:04,-1.28103131910149e-09,8.14919867786447e-09,8.79846402229176e-10
