,Date & Time,RCC,FS,Op Mode,Status,Thrust,Isp,Bus_V,Bus_I,Emit_V,Emit_I,Emit_P,Ext_V,Ext_I,Ext_P,Rsv_P,Rsv_T,Neut Bias,Neut_V,NeutB_I,NeutB_P,LVB_T,ThermoEle_V,FSe
0,2024-01-11 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,12.213,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.213,0.0,0.0,0.0,0.0,293.05,24.537,0.0
1,2024-01-11 00:00:01,0.0,0.0,0.0,0.0,0.0,0.0,11.899,4.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.899,0.0,0.0,0.0,0.0,293.027,24.649,0.0
2,2024-01-11 00:00:02,0.0,0.0,0.0,0.0,0.0,0.0,11.935,4.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.935,0.0,0.0,0.0,0.0,292.959,24.685,0.0
3,2024-01-11 00:00:03,0.0,0.0,0.0,0.0,0.0,0.0,11.939,4.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.939,0.0,0.0,0.0,0.0,292.956,24.689,0.0
4,2024-01-11 00:00:04,0.0,0.0,0.0,0.0,0.0,0.0,12.228,4.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.228,0.0,0.0,0.0,0.0,293.039,24.522,0.0
5,2024-01-11 00:00:05,0.0,0.0,0.0,0.0,0.0,0.0,12.242,4.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.242,0.0,0.0,0.0,0.0,292.954,24.508,0.0
6,2024-01-11 00:00:06,0.0,0.0,0.0,0.0,0.0,0.0,12.226,4.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.226,0.0,0.0,0.0,0.0,292.952,24.524,0.0
7,2024-01-11 00:00:07,0.0,0.0,0.0,0.0,0.0,0.0,12.113,4.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.113,0.0,0.0,0.0,0.0,292.967,24.637,0.0
8,2024-01-11 00:00:08,0.0,0.0,0.0,0.0,0.0,0.0,11.897,4.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.897,0.0,0.0,0.0,0.0,292.952,24.647,0.0
9,2024-01-11 00:00:09,0.0,0.0,0.0,0.0,0.0,0.0,12.035,4.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.035,0.0,0.0,0.0,0.0,292.974,24.715,0.0
10,2024-01-11 00:00:10,0.0,0.0,0.0,0.0,0.0,0.0,12.331,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.331,0.0,0.0,0.0,0.0,293.0,24.419,0.0
11,2024-01-11 00:00:11,0.0,0.0,0.0,0.0,0.0,0.0,11.99,4.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.99,0.0,0.0,0.0,0.0,293.033,24.74,0.0
12,2024-01-11 00:00:12,0.0,0.0,0.0,0.0,0.0,0.0,12.115,4.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.115,0.0,0.0,0.0,0.0,292.991,24.635,0.0
13,2024-01-11 00:00:13,0.0,0.0,0.0,0.0,0.0,0.0,11.942,4.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.942,0.0,0.0,0.0,0.0,293.029,24.692,0.0
14,2024-01-11 00:00:14,0.0,0.0,0.0,0.0,0.0,0.0,11.74,4.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.74,0.0,0.0,0.0,0.0,292.982,24.49,0.0
15,2024-01-11 00:00:15,0.0,0.0,0.0,0.0,0.0,0.0,12.139,4.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.139,0.0,0.0,0.0,0.0,293.015,24.611,0.0
16,2024-01-11 00:00:16,0.0,0.0,0.0,0.0,0.0,0.0,12.31,4.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.31,0.0,0.0,0.0,0.0,293.021,24.44,0.0
17,2024-01-11 00:00:17,1.0,0.0,0.0,0.0,0.0,0.0,11.933,4.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.933,0.0,0.0,0.0,0.0,293.049,24.683,0.0
18,2024-01-11 00:00:18,0.0,0.0,0.0,0.0,0.0,0.0,12.045,4.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.045,0.0,0.0,0.0,0.0,292.977,24.705,0.0
19,2024-01-11 00:00:19,0.0,0.0,0.0,0.0,0.0,0.0,12.205,4.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.205,0.0,0.0,0.0,0.0,292.971,24.545,0.0
20,2024-01-11 00:00:20,0.0,0.0,0.0,0.0,0.0,0.0,11.976,4.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.976,0.0,0.0,0.0,0.0,292.967,24.726,0.0
