Time (UTCG),Torque in X (Nm),Torque in Y (Nm),Torque in Z (Nm)
06 Aug 2023 20:15:04,4.43401454868489e-08,5.82092257276137e-08,-2.6150887400994e-09
06 Aug 2023 20:20:04,5.34144228144986e-08,7.22448775078183e-08,-2.97563175202047e-09
06 Aug 2023 20:25:04,2.40660824136021e-08,4.72495577082386e-08,-1.22740502413528e-10
06 Aug 2023 20:30:04,-3.65882997448681e-08,-1.40584607114864e-08,4.97458059087849e-09
06 Aug 2023 20:35:04,-7.01041393332288e-08,-5.2715616386658e-08,7.39394577821259e-09
06 Aug 2023 20:40:04,-6.12972115531853e-08,-4.87525259352095e-08,6.24213913048379e-09
06 Aug 2023 20:45:04,-3.64246042829931e-08,-2.64996643884494e-08,3.90980204001804e-09
06 Aug 2023 20:50:04,-1.0429820297616e-08,-1.17139913423798e-09,1.64383017986231e-09
06 Aug 2023 20:55:04,1.46351112340508e-08,2.48683859968237e-08,-4.07686910317303e-10
06 Aug 2023 21:00:04,3.8687211478206e-08,5.16548194203754e-08,-2.2281602586594e-09
06 Aug 2023 21:05:04,1.3872657218344e-06,-1.67471719466256e-06,6.45952556645331e-08
06 Aug 2023 21:10:04,0,0,0
06 Aug 2023 21:15:04,-8.19745072111013e-08,8.67793497210897e-08,1.69213926446411e-09
06 Aug 2023 21:20:04,-5.11830469653602e-08,9.26901312660212e-08,-2.31154556696663e-09
06 Aug 2023 21:25:04,0,0,0
06 Aug 2023 21:30:04,-1.4555886297731e-06,1.48870856351064e-06,-3.22169680884417e-08
06 Aug 2023 21:35:04,-1.73553790411732e-08,-8.21126661279038e-09,2.23504561776315e-09
06 Aug 2023 21:40:04,7.84741244114179e-09,1.75083922678649e-08,1.36919126144466e-10
06 Aug 2023 21:45:04,3.23671175677164e-08,4.42301280714212e-08,-1.76390056954891e-09
06 Aug 2023 21:50:04,5.15049573904598e-08,6.74743405180944e-08,-3.05002956751679e-09
06 Aug 2023 21:55:04,4.60036499330354e-08,6.71576563270471e-08,-2.15398168785435e-09
06 Aug 2023 22:00:04,-2.86329112653897e-09,2.08010163952942e-08,2.20429316358081e-09
06 Aug 2023 22:05:04,-5.78990396619845e-08,-3.74558713857231e-08,6.61130130919168e-09
06 Aug 2023 22:10:04,-6.97969504251225e-08,-5.48520313681789e-08,7.16434208946894e-09
06 Aug 2023 22:15:04,-5.06196726189172e-08,-3.95394113079246e-08,5.21266917874219e-09
06 Aug 2023 22:20:04,-2.44573217501112e-08,-1.50463783551914e-08,2.84949500698832e-09
06 Aug 2023 22:25:04,1.02672368686381e-09,1.05291776479373e-08,6.89525851109601e-10
06 Aug 2023 22:30:04,2.58496150170745e-08,3.70919872374849e-08,-1.27838988579507e-09
06 Aug 2023 22:35:04,-1.76355030123851e-06,1.76505836756222e-06,6.09408919422893e-08
06 Aug 2023 22:40:04,0,0,0
06 Aug 2023 22:45:04,-9.31457464633355e-08,7.32750259912024e-08,4.02883566928936e-09
06 Aug 2023 22:50:04,-6.90293920284228e-08,9.25872330338186e-08,-2.12560032786788e-10
06 Aug 2023 22:55:04,0,0,0
06 Aug 2023 23:00:04,1.05767457974769e-06,-9.41816656820311e-07,-6.43283412452407e-08
06 Aug 2023 23:05:04,-3.1575276969994e-08,-2.20217899900301e-08,3.47666301138517e-09
06 Aug 2023 23:10:04,-5.79387575915386e-09,3.38859963882214e-09,1.25614767611067e-09
06 Aug 2023 23:15:04,1.91173624922394e-08,2.95560401079554e-08,-7.56134930584556e-10
06 Aug 2023 23:20:04,4.24430883033899e-08,5.59360029262851e-08,-2.48504291257389e-09
06 Aug 2023 23:25:04,5.37346890631866e-08,7.2072172466708e-08,-3.04360381191811e-09
06 Aug 2023 23:30:04,2.86235867729218e-08,5.15482886237132e-08,-5.31261455457518e-10
06 Aug 2023 23:35:04,-3.1308756984135e-08,-8.48235323103725e-09,4.55076646355643e-09
06 Aug 2023 23:40:04,-6.89927726200748e-08,-5.10919452914928e-08,7.34216037328187e-09
06 Aug 2023 23:45:04,-6.3077111955694e-08,-5.01773255276664e-08,6.42296258466368e-09
06 Aug 2023 23:50:04,-3.88022853894535e-08,-2.87229633869013e-08,4.12477834324284e-09
06 Aug 2023 23:55:04,-1.27392804298646e-08,-3.48456764613436e-09,1.83994259655242e-09
07 Aug 2023 00:00:04,1.23486784505649e-08,2.24288234527161e-08,-2.25843452251833e-10
07 Aug 2023 00:05:04,3.66113496035162e-08,4.92524111231698e-08,-2.07850309777756e-09
07 Aug 2023 00:10:04,1.05750763376674e-06,-1.29510015336828e-06,5.85123516611685e-08
07 Aug 2023 00:15:04,0,0,0
07 Aug 2023 00:20:04,-8.31247933683402e-08,8.58374486702316e-08,1.89535831230502e-09
